,Audio_files , Happy , Sad , Angry , Scary,class
38,1_audio_100.wav,0.6405,0.6747,0.0003,0.0104, Sad 
39,1_audio_100.wav,0.6895,0.7507,0.0006,0.007, Sad 
40,1_audio_101.wav,0.1245,0.8567,0.0018,0.0118, Sad 
41,1_audio_101.wav,0.1754,0.8,0.0003,0.0025, Sad 
42,1_audio_101.wav,0.1137,0.9045,0.0004,0.0037, Sad 
43,1_audio_101.wav,0.0434,0.9549,0.0002,0.0027, Sad 
44,1_audio_101.wav,0.0483,0.9352,0.0005,0.0019, Sad 
45,1_audio_101.wav,0.1122,0.8925,0.0001,0.0024, Sad 
46,1_audio_101.wav,0.0666,0.9527,0.0004,0.0021, Sad 
47,1_audio_101.wav,0.0411,0.9736,0.0003,0.0018, Sad 
48,1_audio_101.wav,0.1424,0.9234,0.0003,0.0046, Sad 
49,1_audio_101.wav,0.1772,0.9504,0.0008,0.0044, Sad 
50,1_audio_102.wav,0.1508,0.6629,0.0011,0.0016, Sad 
51,1_audio_102.wav,0.2915,0.6493,0.0004,0.0014, Sad 
52,1_audio_102.wav,0.2731,0.5259,0.0003,0.0003, Sad 
53,1_audio_102.wav,0.0841,0.9065,0.0001,0.001, Sad 
54,1_audio_102.wav,0.1192,0.8315,0.0001,0.0005, Sad 
55,1_audio_102.wav,0.16,0.6817,0.0001,0.0003, Sad 
56,1_audio_102.wav,0.5763,0.5539,0.0001,0.0002, Happy 
57,1_audio_102.wav,0.7176,0.5443,0.0001,0.0004, Happy 
58,1_audio_102.wav,0.8665,0.2361,0.0001,0.0013, Happy 
59,1_audio_102.wav,0.8554,0.3924,0.0003,0.0021, Happy 
60,1_audio_103.wav,0.1055,0.8488,0.0049,0.0064, Sad 
61,1_audio_103.wav,0.1348,0.8123,0.0016,0.0024, Sad 
62,1_audio_103.wav,0.1885,0.7975,0.0006,0.0011, Sad 
63,1_audio_103.wav,0.1227,0.8936,0.0002,0.0007, Sad 
64,1_audio_103.wav,0.1207,0.8537,0.0003,0.0011, Sad 
65,1_audio_103.wav,0.0615,0.966,0.0001,0.0005, Sad 
66,1_audio_103.wav,0.0534,0.9833,0.0002,0.0008, Sad 
67,1_audio_103.wav,0.1125,0.9417,0.0004,0.0024, Sad 
68,1_audio_103.wav,0.2168,0.7931,0.0004,0.006, Sad 
69,1_audio_103.wav,0.6795,0.6453,0.0006,0.006, Happy 
70,1_audio_104.wav,0.8126,0.1011,0.0018,0.012, Happy 
71,1_audio_104.wav,0.8237,0.4474,0.002,0.0073, Happy 
72,1_audio_104.wav,0.8136,0.4645,0.001,0.0063, Happy 
73,1_audio_104.wav,0.8374,0.4773,0.0005,0.0041, Happy 
74,1_audio_104.wav,0.9026,0.351,0.0003,0.007, Happy 
75,1_audio_104.wav,0.6789,0.4709,0.0004,0.0046, Happy 
76,1_audio_104.wav,0.9115,0.2483,0.0002,0.0053, Happy 
77,1_audio_104.wav,0.654,0.4718,0.0006,0.0046, Happy 
78,1_audio_104.wav,0.8808,0.2351,0.0003,0.0028, Happy 
79,1_audio_104.wav,0.8392,0.2044,0.0005,0.0097, Happy 
80,1_audio_105.wav,0.0774,0.8949,0.0077,0.0123, Sad 
81,1_audio_105.wav,0.0935,0.899,0.0017,0.0075, Sad 
82,1_audio_105.wav,0.1069,0.9273,0.0005,0.0033, Sad 
83,1_audio_105.wav,0.0836,0.947,0.0003,0.0014, Sad 
84,1_audio_105.wav,0.1207,0.9071,0.0001,0.0017, Sad 
85,1_audio_105.wav,0.0266,0.9858,0.0,0.0003, Sad 
86,1_audio_105.wav,0.0311,0.9876,0.0001,0.0008, Sad 
87,1_audio_105.wav,0.0248,0.9934,0.0001,0.0012, Sad 
88,1_audio_105.wav,0.0311,0.9957,0.0002,0.0015, Sad 
89,1_audio_105.wav,0.1096,0.9892,0.0004,0.003, Sad 
90,1_audio_106.wav,0.1735,0.8004,0.0015,0.0076, Sad 
91,1_audio_106.wav,0.1699,0.6511,0.0024,0.0056, Sad 
92,1_audio_106.wav,0.2079,0.7454,0.0002,0.0011, Sad 
93,1_audio_106.wav,0.1048,0.8661,0.0001,0.0008, Sad 
94,1_audio_106.wav,0.1379,0.9464,0.0,0.0003, Sad 
95,1_audio_106.wav,0.0865,0.9769,0.0,0.0004, Sad 
96,1_audio_106.wav,0.338,0.8994,0.0001,0.0011, Sad 
97,1_audio_106.wav,0.1469,0.9448,0.0,0.001, Sad 
98,1_audio_106.wav,0.2904,0.9106,0.0002,0.0024, Sad 
99,1_audio_106.wav,0.8,0.6123,0.0003,0.0068, Happy 
100,1_audio_107.wav,0.1753,0.6759,0.0103,0.018, Sad 
101,1_audio_107.wav,0.0592,0.919,0.0008,0.0037, Sad 
102,1_audio_107.wav,0.2164,0.6898,0.0004,0.0017, Sad 
103,1_audio_107.wav,0.2008,0.8071,0.0004,0.0026, Sad 
104,1_audio_107.wav,0.1615,0.8768,0.0002,0.0013, Sad 
105,1_audio_107.wav,0.1204,0.9125,0.0,0.0005, Sad 
106,1_audio_107.wav,0.1941,0.8975,0.0001,0.0008, Sad 
107,1_audio_107.wav,0.1056,0.9599,0.0,0.0007, Sad 
108,1_audio_107.wav,0.1706,0.966,0.0002,0.0013, Sad 
109,1_audio_107.wav,0.3856,0.9244,0.0007,0.0019, Sad 
110,1_audio_108.wav,0.0363,0.9688,0.0007,0.0012, Sad 
111,1_audio_108.wav,0.0316,0.9652,0.0002,0.0005, Sad 
112,1_audio_108.wav,0.0324,0.9666,0.0001,0.0003, Sad 
113,1_audio_108.wav,0.0192,0.9893,0.0001,0.0003, Sad 
114,1_audio_108.wav,0.0163,0.9888,0.0001,0.0003, Sad 
115,1_audio_108.wav,0.0144,0.9909,0.0001,0.0004, Sad 
116,1_audio_108.wav,0.0344,0.9896,0.0001,0.0005, Sad 
117,1_audio_108.wav,0.0808,0.9692,0.0002,0.0012, Sad 
118,1_audio_108.wav,0.0528,0.9726,0.0001,0.0009, Sad 
119,1_audio_108.wav,0.3405,0.9383,0.0001,0.0006, Sad 
120,1_audio_109.wav,0.0328,0.9387,0.0111,0.0165, Sad 
121,1_audio_109.wav,0.022,0.9749,0.0037,0.0056, Sad 
122,1_audio_109.wav,0.0097,0.9835,0.0009,0.0039, Sad 
123,1_audio_109.wav,0.0051,0.9836,0.0003,0.0046, Sad 
124,1_audio_109.wav,0.0037,0.9845,0.0002,0.005, Sad 
125,1_audio_109.wav,0.0089,0.7409,0.0003,0.0169, Sad 
126,1_audio_109.wav,0.1155,0.3706,0.0003,0.0052, Sad 
127,1_audio_109.wav,0.5014,0.2432,0.0004,0.0023, Happy 
128,1_audio_109.wav,0.4403,0.2118,0.0008,0.0049, Happy 
129,1_audio_109.wav,0.8183,0.27,0.0017,0.0048, Happy 
130,1_audio_11.wav,0.0153,0.7414,0.0045,0.1801, Sad 
131,1_audio_11.wav,0.0125,0.8367,0.0008,0.0775, Sad 
132,1_audio_11.wav,0.0078,0.7759,0.0003,0.0927, Sad 
133,1_audio_11.wav,0.0064,0.868,0.0004,0.054, Sad 
134,1_audio_11.wav,0.0055,0.7629,0.0003,0.1015, Sad 
135,1_audio_11.wav,0.0046,0.8775,0.0004,0.0338, Sad 
136,1_audio_11.wav,0.0105,0.8823,0.0005,0.0159, Sad 
137,1_audio_11.wav,0.0318,0.6925,0.0009,0.0426, Sad 
138,1_audio_11.wav,0.0244,0.7599,0.0004,0.0299, Sad 
139,1_audio_11.wav,0.0608,0.8594,0.0012,0.0124, Sad 
140,1_audio_110.wav,0.5545,0.2094,0.0104,0.0229, Happy 
141,1_audio_110.wav,0.3848,0.3145,0.0086,0.0197, Happy 
142,1_audio_110.wav,0.1144,0.2946,0.0033,0.0201, Sad 
143,1_audio_110.wav,0.1083,0.1785,0.0012,0.0272, Sad 
144,1_audio_110.wav,0.5821,0.1999,0.0011,0.0063, Happy 
145,1_audio_110.wav,0.5795,0.1824,0.0009,0.0067, Happy 
146,1_audio_110.wav,0.3465,0.1571,0.001,0.0385, Happy 
147,1_audio_110.wav,0.657,0.1292,0.0011,0.014, Happy 
148,1_audio_110.wav,0.8345,0.1929,0.0053,0.0048, Happy 
149,1_audio_110.wav,0.8772,0.387,0.0133,0.005, Happy 
150,1_audio_111.wav,0.0508,0.3661,0.0198,0.3976, Scary
151,1_audio_111.wav,0.0981,0.2025,0.01,0.3684, Scary
152,1_audio_111.wav,0.086,0.1662,0.0057,0.4525, Scary
153,1_audio_111.wav,0.1101,0.2037,0.0047,0.5214, Scary
154,1_audio_111.wav,0.1396,0.18,0.0042,0.4905, Scary
155,1_audio_111.wav,0.0194,0.1055,0.0016,0.6907, Scary
156,1_audio_111.wav,0.0175,0.2773,0.005,0.7388, Scary
157,1_audio_111.wav,0.0096,0.1493,0.0041,0.8034, Scary
158,1_audio_111.wav,0.0184,0.2335,0.0022,0.4669, Scary
159,1_audio_111.wav,0.0258,0.2822,0.0076,0.1097, Sad 
160,1_audio_112.wav,0.5273,0.0126,0.0047,0.1635, Happy 
161,1_audio_112.wav,0.7508,0.0111,0.001,0.0283, Happy 
162,1_audio_112.wav,0.9332,0.0186,0.0007,0.0041, Happy 
163,1_audio_112.wav,0.9618,0.0241,0.0004,0.0049, Happy 
164,1_audio_112.wav,0.9786,0.0428,0.0003,0.0052, Happy 
165,1_audio_112.wav,0.9685,0.091,0.0005,0.0065, Happy 
166,1_audio_112.wav,0.9241,0.1216,0.0004,0.002, Happy 
167,1_audio_112.wav,0.9782,0.1659,0.0007,0.0013, Happy 
168,1_audio_112.wav,0.9866,0.0695,0.0004,0.0033, Happy 
169,1_audio_112.wav,0.9915,0.0923,0.0012,0.0057, Happy 
170,1_audio_113.wav,0.4957,0.2755,0.0229,0.3007, Happy 
171,1_audio_113.wav,0.2384,0.3135,0.0309,0.3309, Scary
172,1_audio_113.wav,0.3377,0.147,0.0096,0.4049, Scary
173,1_audio_113.wav,0.29,0.2534,0.0151,0.3498, Scary
174,1_audio_113.wav,0.1097,0.0917,0.013,0.5136, Scary
175,1_audio_113.wav,0.0906,0.0292,0.0046,0.6913, Scary
176,1_audio_113.wav,0.1139,0.0266,0.0047,0.6028, Scary
177,1_audio_113.wav,0.0657,0.0614,0.0021,0.4955, Scary
178,1_audio_113.wav,0.2982,0.0422,0.0047,0.1165, Happy 
179,1_audio_113.wav,0.6657,0.3167,0.0121,0.0231, Happy 
180,1_audio_114.wav,0.595,0.1171,0.0553,0.0528, Happy 
181,1_audio_114.wav,0.7606,0.0866,0.0189,0.0173, Happy 
182,1_audio_114.wav,0.6364,0.0266,0.0018,0.0332, Happy 
183,1_audio_114.wav,0.0959,0.0415,0.0025,0.2288, Scary
184,1_audio_114.wav,0.0899,0.1893,0.0015,0.0327, Sad 
185,1_audio_114.wav,0.1096,0.6051,0.0033,0.0087, Sad 
186,1_audio_114.wav,0.0387,0.7669,0.0007,0.0137, Sad 
187,1_audio_114.wav,0.0673,0.8337,0.003,0.0019, Sad 
188,1_audio_114.wav,0.0926,0.7242,0.0014,0.0026, Sad 
189,1_audio_114.wav,0.3733,0.3713,0.0114,0.0078, Happy 
190,1_audio_115.wav,0.7245,0.047,0.0062,0.0094, Happy 
191,1_audio_115.wav,0.8818,0.0495,0.0017,0.0023, Happy 
192,1_audio_115.wav,0.8573,0.1241,0.0011,0.0013, Happy 
193,1_audio_115.wav,0.8223,0.1267,0.0017,0.0027, Happy 
194,1_audio_115.wav,0.7653,0.1228,0.0028,0.0026, Happy 
195,1_audio_115.wav,0.8713,0.1756,0.0015,0.0015, Happy 
196,1_audio_115.wav,0.8155,0.294,0.0011,0.0013, Happy 
197,1_audio_115.wav,0.9109,0.258,0.0015,0.001, Happy 
198,1_audio_115.wav,0.9484,0.1352,0.002,0.0019, Happy 
199,1_audio_115.wav,0.9029,0.2044,0.0036,0.0108, Happy 
200,1_audio_116.wav,0.5258,0.1446,0.0024,0.0065, Happy 
201,1_audio_116.wav,0.5287,0.1696,0.0021,0.0019, Happy 
202,1_audio_116.wav,0.7408,0.098,0.0009,0.0025, Happy 
203,1_audio_116.wav,0.7785,0.1092,0.0009,0.0015, Happy 
204,1_audio_116.wav,0.9246,0.0784,0.0005,0.0017, Happy 
205,1_audio_116.wav,0.8773,0.1471,0.0006,0.0007, Happy 
206,1_audio_116.wav,0.8698,0.2713,0.0003,0.0008, Happy 
207,1_audio_116.wav,0.6004,0.599,0.0006,0.001, Happy 
208,1_audio_116.wav,0.917,0.2604,0.0019,0.0006, Happy 
209,1_audio_116.wav,0.8832,0.215,0.0015,0.0016, Happy 
210,1_audio_117.wav,0.1184,0.5971,0.006,0.0167, Sad 
211,1_audio_117.wav,0.0583,0.5913,0.001,0.0061, Sad 
212,1_audio_117.wav,0.1731,0.5349,0.0002,0.0015, Sad 
213,1_audio_117.wav,0.1332,0.4707,0.0003,0.0011, Sad 
214,1_audio_117.wav,0.256,0.3371,0.0003,0.0002, Sad 
215,1_audio_117.wav,0.2132,0.4305,0.0004,0.0004, Sad 
216,1_audio_117.wav,0.2118,0.5184,0.0002,0.0008, Sad 
217,1_audio_117.wav,0.1959,0.6781,0.0011,0.0013, Sad 
218,1_audio_117.wav,0.3559,0.5914,0.0008,0.0041, Sad 
219,1_audio_117.wav,0.4595,0.6202,0.0021,0.005, Sad 
220,1_audio_118.wav,0.3011,0.2337,0.0117,0.0097, Happy 
221,1_audio_118.wav,0.5463,0.1937,0.0045,0.0004, Happy 
222,1_audio_118.wav,0.7205,0.1161,0.0012,0.0007, Happy 
223,1_audio_118.wav,0.4373,0.199,0.0025,0.0011, Happy 
224,1_audio_118.wav,0.2418,0.4232,0.0048,0.0001, Sad 
225,1_audio_118.wav,0.1997,0.2454,0.0062,0.0064, Sad 
226,1_audio_118.wav,0.1977,0.5858,0.0025,0.0013, Sad 
227,1_audio_118.wav,0.1041,0.5842,0.0033,0.0057, Sad 
228,1_audio_118.wav,0.2446,0.5508,0.0063,0.001, Sad 
229,1_audio_118.wav,0.5118,0.3701,0.0162,0.0059, Happy 
230,1_audio_119.wav,0.4288,0.2917,0.0043,0.0074, Happy 
231,1_audio_119.wav,0.209,0.2703,0.0027,0.0048, Sad 
232,1_audio_119.wav,0.4764,0.2154,0.0004,0.0099, Happy 
233,1_audio_119.wav,0.2406,0.5946,0.0013,0.0045, Sad 
234,1_audio_119.wav,0.5391,0.4487,0.003,0.0033, Happy 
235,1_audio_119.wav,0.6041,0.414,0.0039,0.0045, Happy 
236,1_audio_119.wav,0.4766,0.3816,0.0058,0.0057, Happy 
237,1_audio_119.wav,0.163,0.4126,0.0007,0.0202, Sad 
238,1_audio_119.wav,0.118,0.3914,0.0013,0.0219, Sad 
239,1_audio_119.wav,0.1918,0.7021,0.0029,0.0498, Sad 
240,1_audio_12.wav,0.0902,0.589,0.0018,0.019, Sad 
241,1_audio_12.wav,0.4159,0.2827,0.0006,0.0024, Happy 
242,1_audio_12.wav,0.2594,0.4823,0.0003,0.0023, Sad 
243,1_audio_12.wav,0.328,0.2521,0.0002,0.0023, Happy 
244,1_audio_12.wav,0.5311,0.2793,0.0001,0.0076, Happy 
245,1_audio_12.wav,0.3027,0.5438,0.0001,0.0091, Sad 
246,1_audio_12.wav,0.2704,0.5817,0.0001,0.0033, Sad 
247,1_audio_12.wav,0.2316,0.5899,0.0001,0.0007, Sad 
248,1_audio_12.wav,0.6536,0.3834,0.0002,0.0011, Happy 
249,1_audio_12.wav,0.7626,0.3386,0.0005,0.0034, Happy 
250,1_audio_120.wav,0.4677,0.1403,0.0061,0.1298, Happy 
251,1_audio_120.wav,0.4155,0.0918,0.0023,0.0964, Happy 
252,1_audio_120.wav,0.1055,0.0983,0.0015,0.1102, Scary
253,1_audio_120.wav,0.2466,0.0824,0.0007,0.0044, Happy 
254,1_audio_120.wav,0.2912,0.0546,0.0009,0.0029, Happy 
255,1_audio_120.wav,0.4758,0.0171,0.0001,0.0064, Happy 
256,1_audio_120.wav,0.875,0.0288,0.0001,0.0028, Happy 
257,1_audio_120.wav,0.7299,0.1207,0.0003,0.001, Happy 
258,1_audio_120.wav,0.9622,0.065,0.0004,0.0007, Happy 
259,1_audio_120.wav,0.9539,0.1681,0.0029,0.0012, Happy 
260,1_audio_121.wav,0.3652,0.2663,0.001,0.0021, Happy 
261,1_audio_121.wav,0.4666,0.3248,0.0005,0.0005, Happy 
262,1_audio_121.wav,0.2472,0.6632,0.0002,0.001, Sad 
263,1_audio_121.wav,0.1371,0.8855,0.0001,0.001, Sad 
264,1_audio_121.wav,0.6388,0.4835,0.0001,0.0023, Happy 
265,1_audio_121.wav,0.5182,0.4992,0.0,0.002, Happy 
266,1_audio_121.wav,0.6068,0.3851,0.0,0.0018, Happy 
267,1_audio_121.wav,0.6633,0.4014,0.0001,0.0007, Happy 
268,1_audio_121.wav,0.9605,0.0835,0.0001,0.0011, Happy 
269,1_audio_121.wav,0.9477,0.2322,0.0003,0.0013, Happy 
270,1_audio_122.wav,0.1065,0.6572,0.0069,0.0195, Sad 
271,1_audio_122.wav,0.0602,0.805,0.0006,0.0158, Sad 
272,1_audio_122.wav,0.0214,0.9515,0.0006,0.0043, Sad 
273,1_audio_122.wav,0.0372,0.9363,0.0003,0.0084, Sad 
274,1_audio_122.wav,0.0195,0.951,0.0001,0.0044, Sad 
275,1_audio_122.wav,0.0215,0.951,0.0002,0.0059, Sad 
276,1_audio_122.wav,0.0642,0.8039,0.0002,0.0073, Sad 
277,1_audio_122.wav,0.064,0.7864,0.0001,0.0241, Sad 
278,1_audio_122.wav,0.186,0.5831,0.0003,0.004, Sad 
279,1_audio_122.wav,0.3012,0.7476,0.0019,0.0114, Sad 
280,1_audio_123.wav,0.06,0.6083,0.1358,0.2722, Sad 
281,1_audio_123.wav,0.0561,0.4434,0.0765,0.2733, Sad 
282,1_audio_123.wav,0.066,0.3504,0.0784,0.1344, Sad 
283,1_audio_123.wav,0.0443,0.4076,0.0514,0.162, Sad 
284,1_audio_123.wav,0.0232,0.2434,0.0784,0.2743, Scary
285,1_audio_123.wav,0.0238,0.0734,0.015,0.2773, Scary
286,1_audio_123.wav,0.009,0.0128,0.0141,0.5062, Scary
287,1_audio_123.wav,0.0128,0.0306,0.0688,0.2502, Scary
288,1_audio_123.wav,0.0197,0.0904,0.0416,0.036, Sad 
289,1_audio_123.wav,0.0941,0.2234,0.048,0.0161, Sad 
290,1_audio_124.wav,0.105,0.6549,0.093,0.014, Sad 
291,1_audio_124.wav,0.0843,0.293,0.0638,0.455, Scary
292,1_audio_124.wav,0.1343,0.3028,0.0337,0.0546, Sad 
293,1_audio_124.wav,0.1372,0.4872,0.0131,0.0348, Sad 
294,1_audio_124.wav,0.1103,0.2622,0.0323,0.4723, Scary
295,1_audio_124.wav,0.1428,0.5597,0.0671,0.0171, Sad 
296,1_audio_124.wav,0.0784,0.4821,0.0642,0.1273, Sad 
297,1_audio_124.wav,0.0819,0.2436,0.0372,0.0931, Sad 
298,1_audio_124.wav,0.0552,0.0369,0.0842,0.1844, Scary
299,1_audio_124.wav,0.2298,0.1723,0.0491,0.2095, Happy 
300,1_audio_125.wav,0.127,0.4627,0.0027,0.0794, Sad 
301,1_audio_125.wav,0.1017,0.7363,0.0067,0.0151, Sad 
302,1_audio_125.wav,0.1622,0.7635,0.0052,0.0106, Sad 
303,1_audio_125.wav,0.0923,0.7454,0.0041,0.0097, Sad 
304,1_audio_125.wav,0.0501,0.7683,0.0004,0.0141, Sad 
305,1_audio_125.wav,0.064,0.9312,0.0003,0.0029, Sad 
306,1_audio_125.wav,0.1113,0.8708,0.0016,0.0015, Sad 
307,1_audio_125.wav,0.1531,0.5208,0.005,0.0119, Sad 
308,1_audio_125.wav,0.1357,0.1482,0.0011,0.3306, Scary
309,1_audio_125.wav,0.2945,0.3507,0.0022,0.0408, Sad 
310,1_audio_126.wav,0.0875,0.3581,0.0827,0.4928, Scary
311,1_audio_126.wav,0.0631,0.1387,0.0374,0.628, Scary
312,1_audio_126.wav,0.0408,0.1859,0.0179,0.686, Scary
313,1_audio_126.wav,0.035,0.4174,0.0169,0.442, Scary
314,1_audio_126.wav,0.0255,0.4053,0.0226,0.0675, Sad 
315,1_audio_126.wav,0.0373,0.2104,0.0073,0.0209, Sad 
316,1_audio_126.wav,0.0892,0.118,0.0097,0.0526, Sad 
317,1_audio_126.wav,0.1244,0.152,0.0054,0.0703, Sad 
318,1_audio_126.wav,0.2075,0.1857,0.0136,0.0233, Happy 
319,1_audio_126.wav,0.1603,0.205,0.015,0.0926, Sad 
320,1_audio_127.wav,0.0069,0.3422,0.0297,0.9345, Scary
321,1_audio_127.wav,0.0049,0.521,0.0094,0.6532, Scary
322,1_audio_127.wav,0.0021,0.2619,0.003,0.8577, Scary
323,1_audio_127.wav,0.005,0.409,0.0057,0.5267, Scary
324,1_audio_127.wav,0.0153,0.5797,0.0071,0.0511, Sad 
325,1_audio_127.wav,0.0049,0.1214,0.0016,0.3789, Scary
326,1_audio_127.wav,0.0341,0.2809,0.0007,0.0327, Sad 
327,1_audio_127.wav,0.057,0.627,0.0026,0.0273, Sad 
328,1_audio_127.wav,0.1055,0.6143,0.0023,0.0302, Sad 
329,1_audio_127.wav,0.1644,0.783,0.0062,0.0234, Sad 
330,1_audio_128.wav,0.146,0.723,0.0102,0.0086, Sad 
331,1_audio_128.wav,0.1053,0.6521,0.0016,0.0122, Sad 
332,1_audio_128.wav,0.13,0.638,0.0007,0.0087, Sad 
333,1_audio_128.wav,0.267,0.5959,0.0004,0.0025, Sad 
334,1_audio_128.wav,0.2053,0.639,0.0002,0.0028, Sad 
335,1_audio_128.wav,0.7015,0.4415,0.0001,0.0011, Happy 
336,1_audio_128.wav,0.5972,0.737,0.0002,0.0012, Sad 
337,1_audio_128.wav,0.1424,0.8469,0.0006,0.0032, Sad 
338,1_audio_128.wav,0.399,0.8939,0.0005,0.0013, Sad 
339,1_audio_128.wav,0.2648,0.8912,0.0039,0.0085, Sad 
340,1_audio_129.wav,0.245,0.4492,0.0047,0.006, Sad 
341,1_audio_129.wav,0.4248,0.2434,0.0015,0.005, Happy 
342,1_audio_129.wav,0.4884,0.4948,0.0025,0.0118, Sad 
343,1_audio_129.wav,0.4946,0.5657,0.0011,0.0049, Sad 
344,1_audio_129.wav,0.1476,0.749,0.0012,0.0019, Sad 
345,1_audio_129.wav,0.2152,0.7769,0.0014,0.0026, Sad 
346,1_audio_129.wav,0.1982,0.7446,0.0012,0.0019, Sad 
347,1_audio_129.wav,0.6193,0.5853,0.002,0.0039, Happy 
348,1_audio_129.wav,0.3427,0.4166,0.0019,0.014, Sad 
349,1_audio_129.wav,0.4923,0.643,0.0033,0.03, Sad 
350,1_audio_13.wav,0.3825,0.3029,0.0014,0.0048, Happy 
351,1_audio_13.wav,0.4956,0.5061,0.0005,0.003, Sad 
352,1_audio_13.wav,0.3091,0.6693,0.0001,0.0023, Sad 
353,1_audio_13.wav,0.1439,0.8833,0.0001,0.0017, Sad 
354,1_audio_13.wav,0.1534,0.8967,0.0,0.0008, Sad 
355,1_audio_13.wav,0.1128,0.9181,0.0001,0.0005, Sad 
356,1_audio_13.wav,0.3946,0.6725,0.0001,0.001, Sad 
357,1_audio_13.wav,0.3121,0.8136,0.0001,0.0028, Sad 
358,1_audio_13.wav,0.3679,0.8726,0.0001,0.0025, Sad 
359,1_audio_13.wav,0.8368,0.4631,0.0004,0.005, Happy 
360,1_audio_130.wav,0.1748,0.7226,0.0048,0.0122, Sad 
361,1_audio_130.wav,0.0802,0.8288,0.0025,0.0048, Sad 
362,1_audio_130.wav,0.1843,0.7265,0.001,0.0032, Sad 
363,1_audio_130.wav,0.1361,0.782,0.0014,0.0017, Sad 
364,1_audio_130.wav,0.1054,0.8341,0.0009,0.0042, Sad 
365,1_audio_130.wav,0.0451,0.865,0.0012,0.0068, Sad 
366,1_audio_130.wav,0.0581,0.7015,0.0019,0.0113, Sad 
367,1_audio_130.wav,0.2157,0.361,0.0006,0.0074, Sad 
368,1_audio_130.wav,0.5101,0.5426,0.001,0.0108, Sad 
369,1_audio_130.wav,0.315,0.4929,0.0025,0.0564, Sad 
370,1_audio_131.wav,0.2767,0.2197,0.0435,0.0339, Happy 
371,1_audio_131.wav,0.3417,0.0459,0.0161,0.0805, Happy 
372,1_audio_131.wav,0.5136,0.0284,0.0066,0.0519, Happy 
373,1_audio_131.wav,0.5305,0.0774,0.0044,0.0105, Happy 
374,1_audio_131.wav,0.4841,0.4759,0.0125,0.0061, Happy 
375,1_audio_131.wav,0.6671,0.3859,0.0079,0.0038, Happy 
376,1_audio_131.wav,0.3544,0.4786,0.0359,0.0075, Sad 
377,1_audio_131.wav,0.285,0.262,0.0152,0.0456, Happy 
378,1_audio_131.wav,0.488,0.138,0.0199,0.0197, Happy 
379,1_audio_131.wav,0.2157,0.2266,0.0062,0.1414, Sad 
380,1_audio_132.wav,0.0595,0.6346,0.0301,0.2989, Sad 
381,1_audio_132.wav,0.0395,0.6048,0.0121,0.3329, Sad 
