0,1,2,3,4,5,6,7,8,9,10,11,positive_labels
0u_CWSUSwtc,13.0,23.0,/t/dd00031,,,,,,,,,/t/dd00031
0vL6EVoSxfA,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0vTiRKNXAnE,30.0,40.0,,/t/dd00031,/t/dd00035,,,,,,,"/t/dd00031, /t/dd00035"
0vZHTpItodg,20.0,30.0,/t/dd00031,,,,,,,,,/t/dd00031
0xghF4F3eiE,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
1-cE8y-UD2M,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1-mlYA-QsJg,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
10E405EYGaQ,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
10EDVIKQnfA,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
10qWY6uDb-A,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
10uYkP-rdMg,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
11abuzJzUkA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
11cJY789OqQ,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
157LYOp-ocE,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
16mOatIJT_k,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
17D_4u9rJHc,18.0,28.0,/t/dd00031,,,,,,,,,/t/dd00031
17I8hJv1-1g,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
18VFlzYYKg0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
18XOqWrftQE,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
19E_3mktxy8,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1AUDcEvrpgQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1BybEibdV7E,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1EAF631oEH0,30.0,40.0,,,,/t/dd00031,/t/dd00035,,,,,"/t/dd00031, /t/dd00035"
1FRMm8wDKVk,110.0,120.0,/t/dd00031,,,,,,,,,/t/dd00031
1FpXZLT-2aI,30.0,40.0,,/t/dd00031,/t/dd00035,,,,,,,"/t/dd00031, /t/dd00035"
1GLwNKhnwLM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1GPlq-nUNXI,50.0,60.0,/t/dd00031,,,,,,,,,/t/dd00031
1GeLysYbPRs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1Gix8_REOBM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1Gnm6kOel4A,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1GrO_CXshDE,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1Jbci6tNXrk,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
1JtRnNxm_XQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1KBI_uko_aw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1LUKZuctLf0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1LmK9whHPMQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1NP-loLM1Qw,180.0,190.0,/t/dd00031,,,,,,,,,/t/dd00031
1NQYEK3qPGg,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1NRHk-nCIh8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1NyxDBC3ozg,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1OmgO1-IzIM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1OzsQk7nBOM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1PSc0ivXL7A,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1PhE5ABUyzY,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
1QlzKLo-Emg,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1RGcDm-HMLs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1SwqQ9Hgu4Y,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
1UoNkjKq4K0,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1YbTjkaZV7U,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1Zzr6RhPE34,30.0,40.0,,,/t/dd00031,/t/dd00035,,,,,,"/t/dd00031, /t/dd00035"
1_6vNqE-rts,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1_oSQS4pxIs,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1aH8RM2XdeY,270.0,280.0,/t/dd00031,,,,,,,,,/t/dd00031
1bZ2m72WGc8,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1ewrFOo5t1E,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1fRpcb6Tq4o,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1fvaVH3V6n8,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1giMmLuOGNM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1gu6mHHW95E,7.0,17.0,,/t/dd00031,,,,,,,,/t/dd00031
1hEzm_Zd5GE,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
1j8M58XuHmI,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1lbtMS9_woo,0.0,10.0,/t/dd00031,,,,,,,,,/t/dd00031
1maj_-llZHs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1nDumvVsdqs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1oq8vNsHnZU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1ot0sfTzOVg,30.0,40.0,,,,,,,,/t/dd00031,,
1r90c3lU_fg,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1u6Iu7gMMFQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1uW8sLvnzrI,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
1ufoSiVfsgA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1urDicxbVI8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
1zEck8RsgkQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2-jvKF_UP1A,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
2-r5744yNZQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
22Hiqt-pc-o,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
22l03_1HViY,100.0,110.0,/t/dd00031,,,,,,,,,/t/dd00031
23MgaU1SHpM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
24W4TFsmYCs,26.0,36.0,,/t/dd00031,,,,,,,,/t/dd00031
24jOCxtGiR0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
25YO_SNEqos,30.0,40.0,/t/dd00031,/t/dd00034,,,,,,,,"/t/dd00031, /t/dd00034"
27JLKK1y0P8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
27VJNguCLMg,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
27jnSL8GIcs,30.0,40.0,,,,,/t/dd00031,,,,,/t/dd00031
28T4CpxG8vU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
28cS8mApYgM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2AD6HaYQXYc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2AtDA6TUQxE,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2DO9phZDjXs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2Eq91VLUO4w,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2F_sBV8kBYw,30.0,40.0,/t/dd00031,/t/dd00034,,,,,,,,"/t/dd00031, /t/dd00034"
2HiZydonJ6A,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2IGGKWjcg9Q,50.0,60.0,/t/dd00031,,,,,,,,,/t/dd00031
2IYoEjrPcNU,30.0,40.0,,,,,,/t/dd00031,/t/dd00035,,,/t/dd00031
2JRkQw9AJ1w,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2LiUkBuna14,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
2MVe7flqggc,90.0,100.0,,/t/dd00031,,,,,,,,/t/dd00031
2O1qEzFLaQg,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2Q6PiWlb7iw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2QZR-PCEXrY,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2SL8S7rIbS8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2U2e30J0Z0Y,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
2WdAeXjbUn8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2Wi730CykFU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2WvGdZ-WdjQ,30.0,40.0,,,,,,/t/dd00031,,,,/t/dd00031
2XBcW8gZxw0,140.0,150.0,/t/dd00031,,,,,,,,,/t/dd00031
2YOLb7RjsKw,120.0,130.0,,,/t/dd00031,,,,,,,/t/dd00031
2Zq-lxhY0GI,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2aEh9PqrKv0,30.0,40.0,,/t/dd00031,/t/dd00035,,,,,,,"/t/dd00031, /t/dd00035"
2b_uF6mKZac,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2dzVovzd0pA,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2emW0_pWMJ0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2gSsOAU98oY,100.0,110.0,/t/dd00031,,,,,,,,,/t/dd00031
2hJU0U9ePw0,140.0,150.0,/t/dd00031,,,,,,,,,/t/dd00031
2hodhG5fgsY,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2iGxqN4pcaY,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2ioRpderMK4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2jfQtiNcMts,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
2m_whITza94,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
2o3x8iaqtzM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2o6llB90bS0,120.0,130.0,/t/dd00031,,,,,,,,,/t/dd00031
2sNRmAFDRT0,17.0,27.0,,,/t/dd00031,/t/dd00035,,,,,,"/t/dd00031, /t/dd00035"
2uZwAcabu8I,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
2z5w6qD5eEw,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
32ad3pb-RPQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
33NT_cSHUy8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
34YoxBIeWto,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
39KYOCoPNzA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
39cpK4ytBA4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3AIXbwebZoQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3Am1I1MvZ6k,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3BbF1mjLsSw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3CmeNfk627g,190.0,200.0,/t/dd00031,,,,,,,,,/t/dd00031
3H2QwIGEO8I,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
3H2aKqubWJY,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3LIo4dAWXbU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3Li0UWUZukU,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
3MT8v_eq4Nk,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
3N95L1nPhn8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3PIaAGMD3w8,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
3Q0-9nwmxPU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3QLg6R0Nc50,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3STjVPX-ycE,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3UKVeVUdZkk,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3UQZLdnz4QY,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3VFIRgbvwNc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3Wcp8qviOlo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3WmlhYkDXmo,250.0,260.0,/t/dd00031,,,,,,,,,/t/dd00031
3ZPgUgc7GcU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3aAB19pK588,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3c9FcFJ0Kmg,40.0,50.0,,/t/dd00031,,,,,,,,/t/dd00031
3cu5YZ12hPU,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
3dUBTIvyVkw,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3f67sIFe5iA,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3flDVLPrTKw,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
3g8UQSsixZc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3gFrsV8XfHM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3jtChFFl9Wo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3kLDi5J2NJQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3mFhIMY4bt0,20.0,30.0,,/t/dd00031,,,,,,,,/t/dd00031
3mFvaJrB0Jc,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
3nB463O5WAQ,70.0,80.0,/t/dd00031,,,,,,,,,/t/dd00031
3nHq8reWeCo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3q80Rhr4R9c,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
3sfSnl6LdIM,30.0,40.0,,,,,,/t/dd00031,/t/dd00035,,,/t/dd00031
3vBGWVVraYw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
3yh0LZn4AY8,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
46xH1xlPQhM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
483mDLRP0k4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4F9sETdxJWw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4FfYAebF6EY,110.0,120.0,/t/dd00031,,,,,,,,,/t/dd00031
4GLyi0O7ark,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4H-VpQFYtBo,30.0,40.0,/t/dd00003,/t/dd00031,,,,,,,,"/t/dd00003, /t/dd00031"
4IVlF6UleyQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4IhNcBaesHo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4JU4MEkkj9M,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4KQRfyIjQAk,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4LOgYmVYqVk,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4Op6ym08emA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4QUz4zaWrJE,120.0,130.0,,/t/dd00031,,,,,,,,/t/dd00031
4R1Kti0gwhw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4T1trsISoG4,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4UN_otA_KOU,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
4VrvHeZY5Ck,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4Wur_yM5ECE,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4X7GiIRTneM,160.0,170.0,/t/dd00031,,,,,,,,,/t/dd00031
4YQkSNPRGM4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4_brsTZLPO4,220.0,230.0,/t/dd00031,,,,,,,,,/t/dd00031
4_kdjSp8JVg,170.0,180.0,,,/t/dd00031,,,,,,,/t/dd00031
4aEgeJc2tC4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4buXStyxnaM,100.0,110.0,/t/dd00031,,,,,,,,,/t/dd00031
4eZsHCzOgkQ,170.0,180.0,,,/t/dd00031,,,,,,,/t/dd00031
4esYm0UPSN8,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4fpMMxjOheI,130.0,140.0,/t/dd00031,,,,,,,,,/t/dd00031
4gIu9OSl5No,8.0,18.0,,,/t/dd00031,/t/dd00035,,,,,,"/t/dd00031, /t/dd00035"
4hrQWCKNa_4,140.0,150.0,/t/dd00031,,,,,,,,,/t/dd00031
4o4deiUPZkA,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4oQBOYPkUzs,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
4p_DQHQSum0,30.0,40.0,,,,,/t/dd00031,,,,,/t/dd00031
4q8gq2aM6Xs,50.0,60.0,,/t/dd00031,,,,,,,,/t/dd00031
4qBX86hfH78,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
4t0UF24Hqf8,30.0,40.0,,,,/t/dd00031,/t/dd00035,,,,,"/t/dd00031, /t/dd00035"
4yGx6USXz0Y,10.0,20.0,/t/dd00031,,,,,,,,,/t/dd00031
4yIH9Bk973Q,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
4ybRMELgXLM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
50J2UdYcG3o,90.0,100.0,,/t/dd00031,,,,,,,,/t/dd00031
51yUok9jXRE,30.0,40.0,,,/t/dd00031,/t/dd00035,,,,,,"/t/dd00031, /t/dd00035"
53MNW0ViWb4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
53SVL2IJ2Vk,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
53zeLdcv0y0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
557G5YW_1SA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
57I20gtkqmI,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
58WXd054L4c,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
5ALI5JDaikA,50.0,60.0,/t/dd00031,,,,,,,,,/t/dd00031
5AS-cRUo-vQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5BEdpUVRhLI,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5CGWec0wUms,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5CUSZlXm_bs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5DK06pWPz2k,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5J0B1jD5FiY,160.0,170.0,/t/dd00031,,,,,,,,,/t/dd00031
5S9MUyg0B6Y,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
5VGEGg4dXLc,10.0,20.0,,/t/dd00031,,,,,,,,/t/dd00031
5VuAXHpgF0M,30.0,40.0,,,,,/t/dd00031,/t/dd00034,,,,"/t/dd00031, /t/dd00034"
5Y0pXprPxLg,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
5atALm5yIgY,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5ccdpJUaum4,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
5e8QK5yFCQ0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5eA6UulW9qM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5hAc7TX4KGc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5jD10IfFuBo,40.0,50.0,/t/dd00031,,,,,,,,,/t/dd00031
5rjs8tso3bs,80.0,90.0,,/t/dd00031,,,,,,,,/t/dd00031
5ugtXFzFUUQ,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
5ulEnaJpv5A,170.0,180.0,/t/dd00031,,,,,,,,,/t/dd00031
5vAiCv_CcOA,30.0,40.0,,,/t/dd00031,/t/dd00034,,,,,,"/t/dd00031, /t/dd00034"
5x-4SP7nwmQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
5zr66AtPZIs,320.0,330.0,/t/dd00031,,,,,,,,,/t/dd00031
62fTcj1nRxE,17.0,27.0,/t/dd00031,,,,,,,,,/t/dd00031
6523Qad9yHc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
663GY6lcRnA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
683tWqpbPHc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
6Bk1mt1l0Mw,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
6Bv-1-aYE-M,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
6CEh7sdCEY4,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
